country,frequency
Russia,1416
France,1020
United States,410
Ukraine,169
Algeria,158
Germany,146
Italy,112
Burkina Faso,103
United Kingdom,101
South Africa,98
Democratic Republic of the Congo,95
Morocco,94
Spain,92
India,89
Turkey,88
China,85
Egypt,85
Nigeria,82
Brazil,81
Canada,79
Belgium,66
Netherlands,62
Mali,61
Senegal,57
Poland,55
Cameroon,55
Indonesia,53
Japan,52
Ivory Coast,48
Switzerland,47
Australia,46
Central African Republic,44
Ethiopia,42
Syria,42
Kenya,39
Chad,37
Tunisia,37
Niger,35
Israel,34
Tanzania,32
Mexico,32
Philippines,32
Argentina,29
United Arab Emirates,28
Iran,27
Haiti,23
Uganda,22
Finland,22
Guinea,21
South Korea,21
Ghana,21
Benin,21
Colombia,21
Portugal,20
Mozambique,20
Madagascar,19
Peru,19
Greece,19
Saudi Arabia,19
Angola,19
Romania,18
Iraq,18
Qatar,18
Sudan,18
Gabon,18
Czech Republic,17
Congo,17
Somalia,17
Pakistan,17
Austria,17
Hungary,16
Belarus,16
Zimbabwe,15
Sweden,15
Moldova,15
Chile,14
Norway,14
Serbia,13
Rwanda,13
Ireland,12
Bosnia and Herzegovina,12
Mauritius,12
Uzbekistan,12
Mauritania,12
Malaysia,12
Togo,12
Armenia,11
Palestinian Territory,11
Kazakhstan,11
Lebanon,11
Croatia,11
Libya,11
Ecuador,10
North Korea,10
Taiwan,10
South Sudan,10
Georgia,10
Venezuela,10
Zambia,10
New Zealand,9
Papua New Guinea,9
Myanmar,9
Malawi,8
Namibia,8
Afghanistan,8
Luxembourg,8
Africa,8
Estonia,8
Bulgaria,8
Latvia,8
Comoros,8
Thailand,8
Kosovo,8
Burundi,7
Bangladesh,7
Azerbaijan,7
Slovakia,7
Slovenia,7
Equatorial Guinea,7
Eswatini,7
Vietnam,7
Black Sea,7
Cyprus,7
São Tomé and Príncipe,7
Denmark,6
Oman,6
Yemen,6
Costa Rica,6
Nepal,6
Sri Lanka,6
Kyrgyzstan,6
Cape Verde,6
Cuba,6
Lithuania,6
Guinea-Bissau,5
Liberia,5
Bolivia,5
Singapore,5
Gambia,5
Cambodia,4
Belize,4
Djibouti,4
Indian Ocean,4
Albania,4
Eritrea,4
Botswana,4
Sierra Leone,4
Seychelles,3
Dominican Republic,3
North America,3
Honduras,3
Pacific Ocean,3
Laos,3
Monaco,3
Malta,3
Atlantic Ocean,3
Greenland,3
Gulf of Guinea,3
Uruguay,3
Paraguay,3
Brunei,3
Azov Sea,2
Niue,2
Samoa,2
Arctic Ocean,2
Mediterranean Sea,2
Iceland,2
Suriname,2
Taiwan Strait,2
Panama,2
Isle of Man,2
Tonga,2
The Bahamas,2
North Sea,2
Caspian Sea,2
North Macedonia,2
Gulf of Mexico,2
Viti,2
Micronesia,2
Asia,2
Sea of Okhotsk,2
Trinidad and Tobago,2
Lesotho,2
Guatemala,2
Vatican City,2
Baltic Sea,2
Arabian Gulf,2
South America,2
Tajikistan,2
Caribbean Sea,2
North Atlantic Ocean,2
Kuwait,2
El Salvador,2
South China Sea,2
Nicaragua,2
Bahrain,2
Cayman Islands,2
Japan Sea,2
Gibraltar,2
Maje,1
Gulf of Thailand,1
Southern Ocean,1
Antarctica,1
Sahrawi Arab Democratic Republic,1
Tuvalu,1
Palau,1
White Sea,1
Montenegro,1
Dominica,1
Vanuatu,1
Alboran Sea,1
Gulf of Tonkin,1
Guernsey,1
Aegean Sea,1
River Plate,1
British Virgin Islands,1
Amundsen Sea,1
Sea of Marmara,1
Gascogne Gulf,1
East China Sea,1
Arabian Sea,1
British Indian Ocean Territory,1
Europe,1
Red Sea,1
Guyana,1
Turkmenistan,1
Mongolia,1
Gulf of Aden,1
Yellow Sea,1
New Caledonia,1
Bhutan,1
Maldives,1
Jamaica,1
Jordan,1
Oceania,1
Barents Sea,1
Chukchi Sea,1
Timor-Leste,1
Liechtenstein,1
Antigua and Barbuda,1
Grenada,1
Saint Kitts and Nevis,1
Saint Lucia,1
Saint Vincent and the Grenadines,1
Nauru,1
English Channel,1
Solomon Islands,1
Davis Strait,1
